,0
0,34.27678198601813
1,-64.71695184950654
2,45.9922981883171
3,-18.91103427979786
4,0.2626374495969692
5,0.1610768392716082
6,0.15140451497416052
7,0.143325071460481
8,0.14029560715698608
9,0.13785000161544758
10,0.1357797557025151
11,0.1343138004122011
12,0.1336323742834793
13,0.13278916250783368
14,0.13239410769892856
